Student_ID,Gender,Age,Attendance_Percentage,Study_Hours,Previous_Grades,Parent_Education,Internet_Access,Family_Income,Extra_Activities,School_Type,Final_Exam_Score,Pass_Fail_Status
STU1514,Female,15,89.35580355244497,3.902013680492967,72.27015569277273,Associate's,Yes,Medium,No,Private,86,Pass
STU1292,Male,15,89.08466990612723,3.888549237666301,72.02575538551851,High School,Yes,High,No,Private,100,Pass
STU1701,Female,18,86.71886780773241,8.114243839958482,79.51164569986462,Associate's,Yes,Low,No,Private,100,Pass
STU1342,Male,16,85.71964938839531,1.1956787342645678,85.79658395071957,Associate's,Yes,Medium,Yes,Private,87,Pass
STU1833,Male,16,98.0378886362613,10.0,83.17049414324693,Associate's,Yes,Low,No,Private,100,Pass
STU1075,Female,18,91.04217965072804,6.161504943282584,82.36645991462407,High School,Yes,Medium,No,Private,100,Pass
STU1898,Female,15,83.5094199027196,9.558241553757307,68.01606649343908,High School,Yes,Low,No,Public,100,Pass
STU1133,Male,15,95.58611390559568,1.0,100.0,Associate's,Yes,Medium,Yes,Private,100,Pass
STU1037,Male,16,97.250796389277,1.9048436233454664,71.95793127889591,High School,Yes,Medium,Yes,Public,86,Pass
STU1613,Female,16,87.00050946299626,3.625701203736287,71.61566917009627,Bachelor's,Yes,Medium,Yes,Public,93,Pass
STU1128,Female,16,89.23819259041166,6.43826115088752,95.96736602741578,High School,Yes,Medium,Yes,Public,100,Pass
STU1257,Female,15,86.89880726466431,3.6015571756749027,79.76002495899998,High School,Yes,Low,Yes,Private,88,Pass
STU1110,Male,15,79.59663707774777,4.424661203945103,86.11788525162038,Bachelor's,Yes,Medium,No,Public,92,Pass
STU1770,Female,16,98.32486777752072,1.2444518514613494,59.98053761411522,High School,Yes,High,No,Public,74,Pass
STU1033,Male,15,92.55671906135294,2.8821824455477745,85.4739059266233,Associate's,Yes,Medium,No,Public,98,Pass
STU1637,Female,16,85.57495363187998,6.838263191170672,67.91385546346588,Associate's,Yes,Medium,No,Public,95,Pass
STU1389,Female,18,88.07798529454749,2.860462516663087,56.757217931669445,Associate's,Yes,High,No,Public,93,Pass
STU1669,Male,15,99.226713146102,2.8712106857330184,58.5455840779338,High School,Yes,Medium,No,Public,90,Pass
STU1337,Female,15,91.98325645750444,4.072523879543061,64.84075974109975,High School,Yes,Low,No,Public,97,Pass
STU1578,Female,17,96.67862422396416,1.869490268406916,71.8836160538087,High School,No,Low,No,Public,87,Pass
STU1811,Female,17,85.44986970486254,3.47320422127413,72.45027913911832,High School,Yes,Low,No,Private,87,Pass
STU1531,Female,16,93.04246914890884,3.726102029095696,71.07772571943534,Associate's,Yes,Medium,Yes,Private,98,Pass
STU1468,Female,16,94.32261819467644,6.420975117671077,78.79424323705268,Associate's,Yes,Medium,No,Private,100,Pass
STU1195,Male,15,90.88137423015304,1.4799468737278478,59.635131153269306,High School,Yes,Medium,Yes,Public,81,Pass
STU1890,Male,18,88.50164709576458,1.0,55.01074784333012,High School,Yes,Medium,No,Public,75,Pass
STU1101,Male,15,94.08452516705032,6.200720325822909,91.30456659658674,High School,Yes,Low,Yes,Public,100,Pass
STU1615,Female,16,95.8238779320216,2.702230244099748,84.68987135162614,Associate's,No,Low,No,Public,89,Pass
STU1353,Female,16,96.23188036063718,1.1933132794616244,62.47125291556774,Associate's,Yes,High,Yes,Public,89,Pass
STU1181,Male,18,97.47019833829296,9.49780683891318,90.37970959378843,High School,Yes,Medium,No,Public,100,Pass
STU1305,Female,17,90.64753118317176,4.144687739859691,68.62888050950671,Associate's,Yes,Medium,No,Private,100,Pass
STU1210,Male,18,92.55671906135294,8.165055538409657,62.89822081050228,High School,No,Medium,Yes,Public,90,Pass
STU1810,Male,15,89.38389751575187,1.4095130276021417,81.03239485290764,High School,Yes,Low,Yes,Public,86,Pass
STU1986,Female,15,92.79181039067808,1.5844539064212997,47.84510347327972,Associate's,No,Medium,Yes,Public,77,Pass
STU1334,Male,18,89.48106116747982,1.9516115076038236,58.23190180414405,Master's,Yes,High,Yes,Public,89,Pass
STU1960,Female,17,92.55671906135294,10.0,72.71895884509513,Associate's,Yes,Medium,Yes,Public,100,Pass
STU1385,Female,17,87.10971979992084,2.768761467789026,60.545408270106265,Associate's,Yes,Medium,No,Public,81,Pass
STU1057,Male,17,99.80003568330233,5.112190168047594,87.0299487498,Associate's,No,Medium,No,Public,96,Pass
STU1140,Female,16,94.0523435062959,5.456885330690977,71.47289840453854,High School,No,Medium,No,Private,100,Pass
STU1332,Female,17,96.65457254168231,1.676012354765385,84.34332373564054,Associate's,Yes,Low,No,Private,97,Pass
STU1446,Female,15,92.60790624264116,4.316387633789969,78.16362040638182,Master's,Yes,Medium,No,Public,98,Pass
STU1860,Male,17,93.8411399728152,6.973071791126763,56.83343005111067,Bachelor's,Yes,Medium,Yes,Public,93,Pass
STU1008,Female,17,93.91322679129765,1.8242486148837065,73.41973377740004,High School,Yes,Medium,No,Public,93,Pass
STU1056,Female,16,88.74132914123032,4.705087932784487,69.43324213626818,Associate's,Yes,Low,No,Public,91,Pass
STU1792,Female,17,98.19553114388806,9.313457331006225,76.1102276536861,Bachelor's,Yes,High,Yes,Public,100,Pass
STU1533,Female,17,84.8006698811366,9.041428432420291,81.45746165632156,High School,No,Medium,Yes,Private,100,Pass
STU1763,Male,15,85.64540383212687,5.236000775504887,93.58877080828384,High School,Yes,Medium,No,Public,90,Pass
STU1521,Female,15,93.36491851677908,2.7259282774373483,40.0,Associate's,Yes,High,No,Public,88,Pass
STU1822,Male,15,95.09234886145924,2.4116177794099403,46.75799889929399,High School,No,Medium,No,Public,84,Pass
STU1905,Male,17,93.11068225382157,4.021565841537169,56.839162049452725,Bachelor's,Yes,Low,Yes,Private,87,Pass
STU1152,Male,17,89.01062546247243,6.856106752163793,65.18499025696856,Associate's,Yes,Medium,No,Private,94,Pass
STU1911,Female,16,89.7405837627343,2.6892840949573777,80.24051045218279,Bachelor's,Yes,High,Yes,Public,93,Pass
STU1568,Male,15,91.05966637836532,2.431889461952749,95.14612756826108,Master's,Yes,Low,No,Public,93,Pass
STU1117,Female,15,96.00687868644104,1.338958524489147,89.77063548783998,Master's,Yes,Low,No,Public,98,Pass
STU1939,Male,16,91.1744525427358,2.0264466968660444,42.05151139461042,High School,No,Medium,Yes,Public,73,Pass
STU1502,Female,16,78.24058773378846,2.9012308157462403,88.38627576487426,Associate's,No,Medium,Yes,Private,86,Pass
STU1422,Female,16,85.95099247305538,4.20421059152745,64.56436291300243,Associate's,Yes,Medium,Yes,Public,94,Pass
STU1720,Female,15,96.88645180644832,1.7471087229636848,91.29425204169895,Master's,Yes,Low,No,Public,96,Pass
STU1824,Male,17,96.4289634084147,3.10398980522866,48.323820000181925,High School,Yes,Medium,No,Private,86,Pass
STU1376,Male,18,92.73299469599851,1.860593128684,92.08727756693722,Bachelor's,Yes,Medium,Yes,Public,91,Pass
STU1205,Female,16,96.21669221470748,2.5885300596756933,49.30291329780112,Associate's,Yes,High,No,Public,81,Pass
STU1772,Female,17,91.75022233916096,3.96039308936503,65.61285928594108,Associate's,Yes,High,Yes,Public,97,Pass
STU1231,Female,18,96.21901801824453,4.706990743377206,92.08232210061112,Associate's,Yes,Medium,Yes,Private,100,Pass
STU1226,Male,17,98.2254799318686,6.2148814238148455,70.91751389990597,Associate's,Yes,Medium,Yes,Public,99,Pass
STU1417,Male,15,90.10516854489066,3.451709023676641,69.56020159404325,High School,Yes,Low,No,Public,86,Pass
STU1001,Male,15,94.84710587571116,3.5656791177416185,78.44974445527714,Associate's,No,Medium,Yes,Public,98,Pass
STU1122,Female,18,95.30965876798714,5.153165972297864,49.5032606332631,Associate's,Yes,Medium,No,Public,91,Pass
STU1463,Female,15,88.77576673855758,7.5397980061521634,51.41657739056401,Associate's,No,Medium,Yes,Private,100,Pass
STU1347,Female,16,91.43913361332258,1.676781919145273,66.5944421893953,Associate's,Yes,Medium,Yes,Public,86,Pass
STU1183,Female,17,83.18321428964023,7.34098677667946,75.63153157835778,High School,Yes,Medium,No,Public,100,Pass
STU1853,Male,18,94.80993726370023,4.361395796891904,61.52420086379368,Associate's,Yes,Medium,No,Public,95,Pass
STU1139,Male,16,92.54105003926207,4.812535144580327,82.54965988847448,High School,Yes,Medium,No,Public,99,Pass
STU1115,Female,16,94.06618600049312,4.286050547998755,72.34113916454062,High School,Yes,High,No,Public,99,Pass
STU1959,Male,17,93.9311749096322,7.022079099782468,70.959333010302,Associate's,Yes,High,Yes,Public,100,Pass
STU1211,Female,16,92.38408336135772,4.538080175743801,66.65337715785688,Bachelor's,Yes,Low,Yes,Public,91,Pass
STU1523,Female,16,97.26949588728309,2.1832493653522533,70.93920099847112,Bachelor's,Yes,Low,Yes,Public,96,Pass
STU1401,Male,15,89.0929365882917,4.8397426085623785,90.27253559155405,High School,Yes,Low,Yes,Public,95,Pass
STU1903,Male,17,89.12133210758506,4.847381260650685,78.90129385187724,High School,Yes,Medium,No,Private,100,Pass
STU1282,Male,17,98.66241237543105,2.139281214879901,74.93700392021728,Bachelor's,Yes,Medium,Yes,Public,93,Pass
STU1574,Female,18,90.21317956488852,3.6449647402840113,44.84223851093827,High School,Yes,Medium,No,Public,73,Pass
STU1136,Male,15,91.3480663271662,1.443589339036626,63.6004159675136,Bachelor's,Yes,Medium,No,Public,91,Pass
STU1513,Female,18,97.45919744096702,4.682832408949086,53.85592425526109,Bachelor's,Yes,Medium,No,Private,89,Pass
STU1219,Female,17,78.7773911610018,2.911916759569525,66.67908392137741,Master's,Yes,Medium,Yes,Public,84,Pass
STU1525,Female,16,97.83068658023782,5.456412194416897,54.07883116758329,Associate's,Yes,Medium,No,Public,95,Pass
STU1918,Female,16,87.03044702980577,3.148636354712048,67.57047272313008,High School,Yes,Low,Yes,Public,89,Pass
STU1460,Male,17,98.92811531034135,4.79841365968652,73.91012539107098,Bachelor's,Yes,High,Yes,Public,99,Pass
STU1017,Male,15,96.34505223703728,4.546912069426932,82.23216450992413,Bachelor's,Yes,Medium,No,Public,100,Pass
STU1314,Female,17,91.63142193487283,3.392474293237578,71.0277139591344,Bachelor's,Yes,High,No,Public,96,Pass
STU1032,Male,16,85.97760454966003,4.7558833979667785,59.14430006794831,Associate's,Yes,Medium,No,Public,85,Pass
STU1843,Male,16,95.75768447213972,5.979826626478123,67.90023965221924,Master's,Yes,High,No,Public,100,Pass
STU1815,Female,15,93.0919614859691,1.0,61.9750766112981,High School,No,Medium,Yes,Public,77,Pass
STU1241,Female,18,85.28011577506766,7.665696695830644,73.02340882479888,Associate's,No,High,No,Private,100,Pass
STU1335,Male,18,96.14416576291262,2.859291893139273,62.77270050127293,Master's,Yes,Medium,No,Public,92,Pass
STU1007,Male,17,98.05553733631326,2.401567437205504,67.41189670829216,High School,Yes,Medium,No,Public,91,Pass
STU1933,Female,16,88.33792810208809,1.7546452940457693,76.04504751280417,High School,Yes,Low,No,Public,87,Pass
STU1675,Male,17,90.64909868308796,3.594050938316991,47.1884333509398,Master's,No,Low,No,Public,83,Pass
STU1202,Male,15,92.11457739949552,5.367639951005499,67.32383229240533,Bachelor's,Yes,Medium,Yes,Public,100,Pass
STU1621,Male,16,87.69591936041883,3.091239755735629,74.74324974694105,High School,Yes,Medium,Yes,Private,85,Pass
STU1169,Male,15,94.89626030333116,1.8533557144993345,50.72151110653144,High School,Yes,Medium,No,Public,80,Pass
STU1483,Male,16,82.3224257762287,6.506613677855181,78.45020552367771,Bachelor's,Yes,Low,No,Private,94,Pass
STU1268,Female,16,91.00432006082173,5.993840224648482,64.55119504076933,Associate's,Yes,Medium,No,Private,99,Pass
STU1029,Female,16,95.98557001770128,1.8971095039700565,65.06135800054896,High School,Yes,Low,Yes,Public,82,Pass
STU1382,Female,16,96.18946963055714,6.038743919427526,56.466079741703865,High School,Yes,Medium,No,Private,100,Pass
STU1835,Female,17,92.96019058722626,9.066013683238763,65.54430146302664,High School,Yes,Low,Yes,Public,100,Pass
STU1646,Female,17,92.61886761565238,2.839207906273244,100.0,High School,No,Medium,No,Private,99,Pass
STU1619,Female,16,91.47482348458512,3.176462726698692,81.6932811755014,Bachelor's,Yes,Medium,No,Public,100,Pass
STU1900,Male,17,79.44825140135168,1.0,69.74356456935998,Bachelor's,Yes,Low,Yes,Public,78,Pass
STU1242,Female,17,95.92849495992604,9.083637751010212,50.75706988829417,High School,No,Low,No,Private,100,Pass
STU1511,Female,17,97.6219762589342,3.7715188358513614,79.47037612724633,High School,Yes,Medium,No,Public,91,Pass
STU1190,Male,17,85.15377675295305,5.150935478668578,47.58381992766393,Bachelor's,Yes,Low,No,Private,90,Pass
STU1435,Male,15,94.82809670933348,2.7008333021022515,51.41856054366365,High School,Yes,High,No,Private,86,Pass
STU1773,Male,18,93.02672886188128,3.888549237666301,80.44955817659131,Associate's,No,Low,No,Public,100,Pass
STU1719,Male,18,87.65189171194409,2.667047578472445,81.7058448273342,Bachelor's,Yes,High,No,Private,98,Pass
STU1871,Male,17,85.23309932316621,3.804694769587683,65.86097753752442,Associate's,Yes,Low,No,Public,88,Pass
STU1727,Male,16,92.5113541175364,2.929739542908384,78.55598047202102,Associate's,Yes,Low,No,Private,90,Pass
STU1108,Female,17,95.41130795429385,5.699648891821829,82.50348064099835,Bachelor's,Yes,Medium,Yes,Private,99,Pass
STU1821,Female,15,90.36580973303828,2.4080283544781818,62.13197434376731,Master's,Yes,Low,No,Public,96,Pass
STU1938,Female,17,93.89270931526384,5.169119089894416,80.28307114947364,High School,Yes,Medium,No,Public,98,Pass
STU1043,Male,16,92.22516380595916,7.7279611747491455,78.32771632079476,High School,Yes,High,Yes,Public,100,Pass
STU1280,Female,16,95.26776035580671,3.892318069089417,77.24079066677803,Associate's,Yes,High,Yes,Private,100,Pass
STU1336,Male,17,93.3813204557288,6.475014799917968,77.94598402968217,High School,Yes,Low,No,Private,96,Pass
STU1031,Female,15,89.9319755570179,5.366763977892916,83.26990695773019,Bachelor's,Yes,Low,Yes,Public,100,Pass
STU1640,Male,18,93.6542731486604,6.90728127077767,47.63228915128676,Associate's,Yes,Low,No,Public,96,Pass
STU1803,Female,16,84.71958426864754,1.1119847846633877,74.62333783841646,High School,Yes,High,No,Public,84,Pass
STU1232,Female,15,93.25437541997138,2.019264611908736,82.52024971050119,Bachelor's,Yes,Medium,Yes,Private,100,Pass
STU1099,Male,17,88.85918502328443,2.900029770842592,92.75147610868773,Bachelor's,No,Low,No,Public,91,Pass
STU1767,Female,17,98.90048233876452,1.980625727620715,94.6080136508383,High School,Yes,Low,No,Public,93,Pass
STU1186,Female,18,99.23832169091044,4.337721736076063,81.44727585601422,Bachelor's,No,Medium,No,Private,99,Pass
STU1608,Male,17,86.17948667059176,4.78593539312506,73.49648283636557,Bachelor's,Yes,Low,No,Public,93,Pass
STU1674,Female,17,94.32843969438954,3.557260351886356,73.20543540542538,High School,Yes,Medium,No,Private,92,Pass
STU1400,Female,17,94.25606899802028,2.313264577040711,67.9576055395136,Bachelor's,Yes,Medium,No,Private,96,Pass
STU1477,Male,17,92.83429968024132,3.271042390216672,60.96447673874931,High School,Yes,Medium,Yes,Private,89,Pass
STU1998,Male,15,93.55134710419892,7.406160857937207,71.65380335838879,Bachelor's,Yes,Low,No,Public,100,Pass
STU1641,Male,16,89.78512497638211,3.8346725701672977,72.14311176925771,Associate's,Yes,Medium,Yes,Public,89,Pass
STU1364,Female,17,94.0017578365008,7.356544689826956,67.63327452589293,High School,Yes,Medium,Yes,Public,100,Pass
STU1348,Male,16,81.24862914189725,2.5466984137937447,59.90637202081795,High School,Yes,Low,Yes,Private,82,Pass
STU2000,Male,16,90.76135909096048,4.4971189891211925,75.81918645072246,Associate's,Yes,Medium,No,Private,98,Pass
STU1896,Male,17,93.02002303744824,1.0,69.50898785828352,Associate's,Yes,Medium,No,Public,80,Pass
STU1892,Female,16,93.00738927068664,10.0,52.652283168247,Bachelor's,Yes,Medium,No,Public,100,Pass
STU1932,Female,16,86.7601057869341,5.021872397671913,90.3759216277708,Bachelor's,No,Medium,No,Public,100,Pass
STU1750,Female,15,98.87795949721016,1.689601580550129,72.82672340067425,High School,Yes,Medium,No,Public,86,Pass
STU1587,Male,17,95.6859221356296,4.030016226166116,61.25344938339232,High School,Yes,Low,Yes,Public,85,Pass
STU1091,Male,18,92.55671906135294,4.537565255815652,84.68614955537319,High School,Yes,Medium,Yes,Public,100,Pass
STU1107,Male,16,95.04017907831418,1.0,79.34144458803196,Associate's,Yes,High,No,Private,98,Pass
STU1529,Male,17,89.22853094659773,6.371388879697392,79.80106689697973,Associate's,No,Low,Yes,Public,94,Pass
STU1700,Female,16,90.52189301439046,3.464698435902508,66.94069697626657,Bachelor's,Yes,Medium,Yes,Public,90,Pass
STU1544,Female,16,97.34835906343817,5.9181174334941655,52.52701913612982,High School,Yes,Medium,Yes,Public,93,Pass
STU1943,Female,17,93.84496752397806,9.747624814966269,90.38596523530256,Master's,Yes,High,Yes,Public,100,Pass
STU1490,Female,16,88.99967051841767,9.052143431639852,65.52722278159233,High School,No,Low,Yes,Private,100,Pass
STU1356,Female,18,97.24148141784067,5.38417400320288,66.93513737892366,High School,Yes,Medium,No,Public,97,Pass
STU1583,Female,16,91.21030635555798,6.926318037795783,65.69809763162087,High School,Yes,Low,Yes,Public,97,Pass
STU1461,Male,16,79.0865121533214,2.019117833273012,63.651370506394976,High School,Yes,Medium,Yes,Public,77,Pass
STU1320,Male,15,98.18493654941946,3.8727628399553216,85.07744417045001,Associate's,Yes,Medium,No,Public,100,Pass
STU1564,Male,16,94.45450761082448,1.7076741545054563,71.604116366073,Master's,Yes,Medium,No,Private,94,Pass
STU1836,Male,17,92.20807963484296,6.407562794415181,83.2254883781853,Bachelor's,Yes,Low,No,Public,97,Pass
STU1558,Male,16,98.56098789616551,2.680836896504566,56.99969360659141,Associate's,Yes,Medium,No,Public,90,Pass
STU1326,Female,16,92.47174526608764,2.028027108190241,55.33653582558019,Bachelor's,No,Medium,Yes,Public,84,Pass
STU1830,Male,16,88.20794456200622,4.663808475048029,84.5818184844546,Associate's,Yes,Medium,No,Public,100,Pass
STU1404,Female,17,74.77699668780808,9.653530759789623,78.74686871709919,Master's,No,Low,Yes,Public,100,Pass
STU1418,Male,15,85.30453967282057,2.1862597279649374,74.53877799833097,Master's,Yes,Medium,No,Public,87,Pass
STU1690,Male,17,93.73558734845668,2.3190460118015217,78.85237757276576,High School,Yes,Medium,No,Public,89,Pass
STU1739,Male,16,94.4521611543781,8.186704292895685,64.07966221307109,Bachelor's,Yes,Low,Yes,Public,100,Pass
STU1906,Female,15,89.00766377718689,5.921699257712222,60.00421338822932,Bachelor's,No,Low,No,Public,85,Pass
STU1009,Female,15,95.02847829137852,3.0679083720230147,63.67750932645377,Associate's,No,Medium,Yes,Public,85,Pass
STU1858,Male,16,84.35700536584163,3.445312667052685,81.40867245900428,High School,Yes,High,Yes,Private,97,Pass
STU1652,Female,16,95.07018780263554,4.278431824569093,73.3054003662476,Master's,Yes,Medium,No,Private,100,Pass
STU1225,Male,16,82.86884076061634,3.9288606642805752,82.36285630962975,Bachelor's,Yes,Medium,No,Public,91,Pass
STU1962,Female,16,98.71357204471364,5.206115972906667,95.67725841698284,Master's,Yes,Low,No,Public,100,Pass
STU1977,Female,16,87.84656024019017,5.155257498594945,50.87684999303989,High School,Yes,Medium,Yes,Private,92,Pass
STU1946,Male,16,95.98150210175832,10.0,73.06327668869699,High School,Yes,High,Yes,Private,100,Pass
STU1586,Male,15,92.55671906135294,1.579860481750701,63.30115161810248,Master's,Yes,Low,Yes,Public,93,Pass
STU1699,Male,18,97.11782347655252,5.328588110416084,74.81092850447125,Master's,No,Low,Yes,Public,100,Pass
STU1024,Male,18,95.81901578212972,4.377373295316918,76.92808767929759,High School,Yes,Low,Yes,Public,96,Pass
STU1546,Male,16,86.62654308108168,3.156692714755524,79.33157213095971,High School,Yes,Medium,No,Public,88,Pass
STU1847,Male,15,77.42163296562259,6.220868923650035,66.00192483118003,Associate's,No,Medium,Yes,Public,92,Pass
STU1124,Male,17,98.7408539787566,5.684045221352891,56.824978624825135,High School,No,Medium,Yes,Public,94,Pass
STU1237,Male,18,97.8346286957596,10.0,47.75018898496863,High School,Yes,Low,No,Public,100,Pass
STU1143,Female,17,92.14326536709105,7.530903047687329,48.8205122738775,Associate's,Yes,Low,Yes,Public,95,Pass
STU1661,Male,17,94.4422194867256,3.031788526231605,61.34573151027352,High School,Yes,Medium,No,Private,91,Pass
STU1956,Male,18,87.91991175053076,3.5546448839861173,61.67344112941645,Bachelor's,Yes,Low,Yes,Public,87,Pass
STU1702,Male,16,97.6523492841092,4.346765670467678,70.69205807146342,High School,Yes,Medium,Yes,Public,94,Pass
STU1584,Male,16,92.37946927017082,4.316349345172688,87.0034429552948,Master's,Yes,Medium,No,Public,97,Pass
STU1494,Male,15,94.794028941945,8.91520212166948,76.08041531046885,Associate's,Yes,High,No,Public,100,Pass
STU1069,Male,16,96.18493028017242,5.1074650892624645,65.91341342873346,Bachelor's,Yes,Low,No,Private,97,Pass
STU1854,Female,17,96.78490107282528,1.0568193579997112,69.36364770940261,Bachelor's,Yes,Low,Yes,Private,90,Pass
STU1976,Male,18,98.5479906078004,3.923291368013813,88.06533564505276,Bachelor's,Yes,Medium,No,Private,100,Pass
STU1802,Male,17,97.27484843295125,3.855649470946244,84.87625193764347,Bachelor's,Yes,Medium,Yes,Public,100,Pass
STU1696,Female,15,83.3032948349243,3.76399112542207,47.39040172807022,Associate's,Yes,High,No,Public,75,Pass
STU1630,Male,16,94.80870560436878,5.96752345526329,58.981454684683925,High School,No,Low,Yes,Public,87,Pass
STU1158,Female,18,91.65430225820538,5.932786608995138,68.42243304880988,Associate's,No,Medium,No,Public,100,Pass
STU1450,Male,17,97.65310469256804,1.0,54.91207380364786,High School,Yes,Medium,No,Public,77,Pass
STU1436,Female,15,95.221830521881,7.589500678772851,79.56215510838136,High School,Yes,Medium,Yes,Public,100,Pass
STU1883,Male,17,86.37226460999418,3.112323112700184,78.22883447246664,Associate's,Yes,Medium,No,Public,91,Pass
STU1990,Female,17,91.69422418114604,6.627882304857049,61.038898484192366,Bachelor's,Yes,High,No,Public,100,Pass
STU1625,Female,15,90.57181613626857,1.7090108488903115,63.87463264943359,Associate's,Yes,Low,Yes,Public,85,Pass
STU1188,Female,15,94.42848604988592,3.075307014729567,64.75224136071331,Associate's,Yes,Medium,Yes,Public,83,Pass
STU1192,Female,16,90.39975965380005,1.0,62.669602512541736,Associate's,Yes,Medium,No,Public,85,Pass
STU1248,Female,15,95.69291991779862,5.232928605455801,58.54983415721316,High School,Yes,Low,No,Private,94,Pass
STU1010,Female,16,89.9151946878932,2.0239866896865264,73.33919660281816,Associate's,Yes,Low,No,Public,87,Pass
STU1984,Male,16,90.62088585023972,5.296514875229501,63.25524728815173,High School,Yes,Low,Yes,Private,93,Pass
STU1622,Male,15,90.6230633740704,4.210640931354729,69.00236214797617,Associate's,Yes,Low,Yes,Public,90,Pass
STU1299,Female,17,91.77732385814228,4.8686036526482095,71.20126141746651,Bachelor's,Yes,Medium,No,Public,99,Pass
STU1180,Male,16,94.99536424293646,3.598206595237738,66.3672220507743,Master's,Yes,Low,No,Public,95,Pass
STU1187,Female,17,99.28158749020942,5.1436316316063415,83.17339090069122,Associate's,Yes,Low,Yes,Public,100,Pass
STU1790,Female,16,92.55671906135294,3.335410085307964,81.85107454931651,Associate's,Yes,Low,No,Public,87,Pass
STU1482,Female,15,87.27427798228933,2.190792440263535,62.146083501655966,Associate's,No,Low,No,Public,80,Pass
STU1749,Female,17,100.0,5.328490974632184,61.63851315373928,Associate's,Yes,Medium,Yes,Private,93,Pass
STU1774,Male,18,96.57104929727656,3.351502951645255,81.5635895461191,Bachelor's,Yes,Low,No,Public,96,Pass
STU1729,Male,17,92.61654825329616,3.277622983074532,60.262939485018606,High School,Yes,Medium,No,Public,83,Pass
STU1492,Female,16,95.89762567104174,7.05491310458447,59.90406913357811,High School,Yes,Medium,No,Private,100,Pass
STU1247,Male,15,94.41238278698268,4.2842371482087565,96.71901490097368,Associate's,Yes,Medium,No,Private,100,Pass
STU1601,Male,15,88.25078596106894,8.232417714972424,43.70769727148293,Associate's,Yes,Medium,Yes,Private,100,Pass
STU1863,Female,15,86.05286500205817,3.650959039570171,57.80621397234853,Associate's,Yes,Medium,No,Public,90,Pass
STU1105,Female,18,92.31540412435608,9.664966451267087,62.541370743404194,Associate's,Yes,Low,Yes,Private,100,Pass
STU1300,Male,17,87.89181053491386,1.944203536061562,77.20158780066768,High School,Yes,Low,Yes,Public,84,Pass
STU1034,Female,15,95.38595150772603,10.0,68.59702653430156,Associate's,Yes,Medium,No,Public,100,Pass
STU1162,Female,15,93.31342065400617,2.25726480427287,78.96087472893065,Associate's,Yes,Medium,No,Private,95,Pass
STU1375,Male,15,86.6865806613157,8.35021241858902,71.79272114342193,High School,Yes,Medium,Yes,Public,96,Pass
STU1288,Female,16,99.52498778772636,8.237706953527358,97.261936571669,Associate's,No,Low,Yes,Public,100,Pass
STU1563,Male,17,84.50840808365186,3.627565972831492,67.4129730291375,High School,Yes,Medium,Yes,Public,88,Pass
STU1545,Female,18,92.55671906135294,4.157942097202646,60.54485220853283,High School,No,Low,Yes,Private,90,Pass
STU1682,Male,18,92.32630576837438,3.940533110733844,47.36550695580918,Associate's,No,Low,No,Public,78,Pass
STU1748,Female,16,90.75182761759687,7.981487779412482,90.9072547098688,Associate's,Yes,Medium,No,Public,100,Pass
